Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades 
26-12-2022,EQ,610.1,629.4,606,607.25,624.5,622.05,621.04,918.65,557,3578861,"2,22,26,09,451.90",74983
27-12-2022,EQ,628,634.95,623.05,622.05,634,633.1,629.27,918.65,557,2032618,"1,27,90,61,232.65",45223
28-12-2022,EQ,635,641,630.45,633.1,638.1,638.75,637.94,918.65,557,2067777,"1,31,91,14,456.30",40808
29-12-2022,EQ,636,636.8,627.55,638.75,633.7,633.05,631.58,918.65,557,2332891,"1,47,34,15,090.15",58660
30-12-2022,EQ,638,645.55,635.6,633.05,639.5,639.7,640.08,918.65,557,1680270,"1,07,55,06,295.70",39677
02-01-2023,EQ,643,644.7,639.1,639.7,642.7,642.35,641.73,918.65,557,937786,"60,18,06,438.25",25170
03-01-2023,EQ,648.95,654.8,642.15,642.35,644.7,644.05,646.94,918.65,557,2364730,"1,52,98,26,925.50",46679
04-01-2023,EQ,646,646.55,633,644.05,635,635.2,636.91,918.65,557,1377074,"87,70,68,389.80",37754
05-01-2023,EQ,638.4,638.4,631.5,635.2,637.25,637.15,635.33,918.65,557,861066,"54,70,62,777.85",24341
06-01-2023,EQ,637.35,639.95,631,637.15,635,636.25,635.72,918.65,557,730880,"46,46,32,201.80",23006
09-01-2023,EQ,639.45,641.8,636.3,636.25,640,639.6,639.52,918.65,557,592137,"37,86,80,498.80",20153
10-01-2023,EQ,639,642.8,634.6,639.6,636.8,636.95,638.49,918.65,557,978802,"62,49,58,065.15",27889
11-01-2023,EQ,636.2,644,636.2,636.95,640.9,640.75,640.15,918.65,557,922620,"59,06,18,557.80",25127
12-01-2023,EQ,643.7,644.3,638.25,640.75,640.2,640.65,641.02,918.65,557,685572,"43,94,66,412.20",24477
13-01-2023,EQ,642.5,643.5,637.05,640.65,641,641.5,640.64,918.65,557,697974,"44,71,49,547.90",23509
16-01-2023,EQ,643,643.35,638,641.5,640.05,640.05,639.93,918.65,557,789814,"50,54,24,355.05",19494
17-01-2023,EQ,640,643.7,633.65,640.05,642,641.15,637.54,918.65,557,1093013,"69,68,34,266.00",30454
